url,Données de base,Équipement,Certificats et attestations de conformité,Urbanisme et risques environnementaux,Aménagement intérieur,Cuisine et sanitaires,Description extérieure,Chauffage et énergie
https://immovlan.be/fr/detail/appartement/a-vendre/1030/schaerbeek/vbc91980,Normal,,267 kWh/m²/an,,1,,6 m,
https://immovlan.be/fr/detail/appartement/a-vendre/1030/schaerbeek/vbc91979,Normal,Non,,Non,2,,,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/1700/dilbeek/rbt73263,À rénover,Non,325 kWh/m²/an,Non,,1,,
https://immovlan.be/fr/detail/ferme/a-vendre/3945/oostham/rbt73258,Normal,,502 kWh/m²/an,Non,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/3920/lommel/rbt73257,Normal,,,,2,1,,
https://immovlan.be/fr/detail/maison/a-vendre/3583/paal/rbt73256,À rénover,Non,850 kWh/m²/an,,,,4,Mazout
https://immovlan.be/fr/detail/maison/a-vendre/3971/heppen/rbt73255,Excellent,Non,237 kWh/m²/an,,,,Est,Mazout
https://immovlan.be/fr/detail/maison/a-vendre/2490/balen/rbt73254,Normal,Non,,,,,Nord-est,
https://immovlan.be/fr/detail/surface-industrielle/a-vendre/3920/lommel/rbt73253,Normal,Non,"oui, attestation conforme",Non,,2,Oui,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/3971/heppen/rbt73252,Normal,Non,,Non,,,Nord-ouest,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/2490/balen/rbt73251,À rénover,,,Non,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3920/lommel/rbt73250,Normal,Non,679 kWh/m²/an,,,,Nord-ouest,Non specifié
https://immovlan.be/fr/detail/maison/a-vendre/3945/ham/rbt73249,Excellent,Non,153 kWh/m²/an,,,,Sud-est,Gaz
